ID,Date,Element,Data_Value
MJM00013463,2008-11-04,TMIN,124
MJM00013463,2014-12-01,TMIN,122
BKM00014648,2007-06-24,TMAX,360
MJM00013363,2011-01-20,TMAX,29
MJM00013463,2009-01-02,TMAX,123
MJM00013463,2009-01-02,TMIN,16
BKM00014652,2013-08-12,TMIN,90
MJM00013461,2010-06-18,TMIN,207
BKM00014648,2015-01-06,TMIN,24
BKM00014652,2012-11-23,TMAX,34
BKM00014648,2015-01-06,TMAX,64
BKM00014648,2007-06-27,TMAX,325
MK000013577,2012-06-09,TMAX,273
MK000013577,2012-06-09,TMIN,112
MJM00013461,2013-08-01,TMAX,344
MJM00013463,2006-08-23,TMIN,190
BKM00014648,2005-12-28,TMAX,130
MJM00013461,2012-03-30,TMIN,116
MJM00013463,2008-11-04,TMAX,224
MJM00013463,2007-03-09,TMAX,230
BKM00014652,2008-09-16,TMAX,22
MJM00013463,2007-05-15,TMAX,326
MJM00013463,2007-05-15,TMIN,170
BKM00014648,2007-04-20,TMIN,86
BKM00014652,2013-05-19,TMAX,126
MJM00013459,2005-09-15,TMIN,140
MJM00013463,2005-06-07,TMIN,159
BKM00014654,2006-04-14,TMAX,180
BKM00014648,2006-09-13,TMIN,170
BKM00014654,2006-04-14,TMIN,16
ALM00013615,2012-05-03,TMIN,133
BKM00014648,2008-06-08,TMIN,143
MJM00013463,2007-12-12,TMIN,58
MJM00013463,2007-11-26,TMAX,178
MJM00013459,2005-09-15,TMAX,205
RIE00100814,2006-12-16,TMIN,-33
ALM00013615,2014-04-26,TMAX,208
BKM00014648,2013-10-06,TMIN,120
MJM00013463,2014-08-02,TMIN,188
MJM00013461,2007-03-09,TMIN,83
MJM00013363,2013-05-11,TMIN,74
BKM00014657,2014-11-10,TMAX,208
BKM00014648,2006-02-10,TMAX,108
BKM00014652,2013-12-28,TMIN,-14
ALM00013615,2006-11-22,TMAX,188
MJM00013461,2010-07-15,TMAX,306
BKM00014648,2006-02-10,TMIN,5
MJM00013461,2007-03-09,TMAX,186
BKM00014652,2006-08-14,TMAX,100
MJM00013363,2011-11-28,TMAX,84
MJM00013463,2007-03-09,TMIN,86
RIE00100814,2006-09-22,TMIN,133
MJM00013461,2006-10-11,TMIN,160
MJM00013461,2012-03-30,TMAX,193
MJM00013459,2005-09-01,TMIN,156
BKM00014654,2009-03-08,TMAX,60
BKM00014648,2009-02-01,TMAX,94
MJM00013459,2005-09-01,TMAX,282
RIE00100814,2010-10-29,TMAX,102
BKM00014652,2006-08-14,TMIN,31
MJM00013459,2007-04-29,TMAX,204
MJM00013463,2009-03-07,TMIN,69
MJM00013461,2015-07-11,TMIN,222
BKM00014648,2010-05-04,TMIN,120
BKM00014648,2007-06-27,TMIN,212
BKM00014654,2008-11-19,TMIN,-46
BKM00014654,2008-11-19,TMAX,58
BKM00014648,2010-05-04,TMAX,242
MJM00013463,2007-12-12,TMAX,134
BKM00014648,2005-08-21,TMAX,302
MK000013577,2012-01-01,TMAX,13
BKM00014648,2005-08-21,TMIN,188
ALM00013615,2012-07-13,TMIN,179
MJM00013461,2011-09-16,TMIN,204
BKM00014648,2007-06-24,TMIN,204
